city_code,observed_on,rain_mm_7d,rain_mm_30d,source
GAD,2026-09-05,22.0,102.6,open-meteo-era5
GAD2,2026-09-05,22.0,102.6,open-meteo-era5
VER,2026-09-05,18.2,94.5,open-meteo-era5
NAV2,2026-09-05,17.4,152.5,open-meteo-era5
BAH3,2026-09-05,52.8,223.7,open-meteo-era5
HAL,2026-09-05,103.3,594.8,open-meteo-era5
RAI3,2026-09-05,81.8,175.8,open-meteo-era5
MAL2,2026-09-05,95.2,203.1,open-meteo-era5
JAU,2026-09-05,92.8,323.6,open-meteo-era5
DEO2,2026-09-05,69.2,260.9,open-meteo-era5
BHA6,2026-09-05,7.9,66.0,open-meteo-era5
HOS3,2026-09-05,42.8,122.6,open-meteo-era5
JIN,2026-09-05,5.3,116.0,open-meteo-era5
KUM2,2026-09-05,4.9,34.0,open-meteo-era5
MOH,2026-09-05,33.3,133.6,open-meteo-era5
FAT,2026-09-05,122.3,416.9,open-meteo-era5
TON,2026-09-05,46.6,123.9,open-meteo-era5
UDU,2026-09-05,36.2,315.8,open-meteo-era5
THE,2026-09-05,27.0,81.5,open-meteo-era5
SIT,2026-09-05,122.9,372.3,open-meteo-era5
ALA2,2026-09-05,18.9,99.1,open-meteo-era5
BHA7,2026-09-05,15.3,98.0,open-meteo-era5
VAP,2026-09-05,33.8,191.3,open-meteo-era5
MOG,2026-09-05,28.5,120.5,open-meteo-era5
RAJ4,2026-09-05,74.4,371.8,open-meteo-era5
ROB,2026-09-05,9.7,74.5,open-meteo-era5
UNN,2026-09-05,86.6,414.1,open-meteo-era5
BUD,2026-09-05,91.8,270.0,open-meteo-era5
MAD3,2026-09-05,110.4,399.1,open-meteo-era5
CHI,2026-09-05,19.5,111.0,open-meteo-era5
JAM4,2026-09-05,120.1,398.4,open-meteo-era5
JAI2,2026-09-05,77.2,272.3,open-meteo-era5
BAT2,2026-09-05,26.7,104.8,open-meteo-era5
ORA,2026-09-05,121.6,531.3,open-meteo-era5
SAH2,2026-09-05,80.7,223.7,open-meteo-era5
VID,2026-09-05,71.4,362.7,open-meteo-era5
HAN,2026-09-05,2.9,29.9,open-meteo-era5
THA3,2026-09-05,24.6,121.6,open-meteo-era5
HAS2,2026-09-05,11.8,56.7,open-meteo-era5
KIS,2026-09-05,14.0,112.3,open-meteo-era5
